Week,Season,Air Travel,Hotel and Acc,Rail Travel,Shopping,Covid 19,Travel Guides & Travelogues,Car Rental & Taxi Services,Tourist Destinations,Image Search,W1,W2,W3,Weekwise Tourists
23-09-2012,3,37,0,0,38,0,52,30,45,61,-0.41561,0.431946,0.639136,68327.93
30-09-2012,4,0,19,100,0,0,48,0,54,65,-0.90775,0.529753,0.258209,79011
07-10-2012,4,37,0,52,0,0,49,0,53,68,-0.41561,0.431946,0.639136,80791.52
14-10-2012,4,34,40,0,52,0,44,58,58,69,-0.90775,0.529753,0.258209,80791.52
21-10-2012,4,42,13,0,100,0,76,0,62,58,-0.00431,-0.71879,0.418196,80791.52
28-10-2012,4,0,22,0,0,0,66,0,50,53,0.996361,-0.56002,0.280704,65714.78
04-11-2012,4,49,0,0,0,0,64,0,55,55,-0.41561,0.431946,0.639136,45612.47
11-11-2012,4,0,0,0,46,0,33,0,60,45,-0.58506,-0.59071,-0.50164,45612.47
18-11-2012,4,30,0,0,0,0,51,0,63,61,0.044792,0.108978,0.426204,45612.47
25-11-2012,4,15,0,37,0,0,48,27,43,44,-0.46471,-0.39582,0.631128,46855.69
02-12-2012,4,56,13,0,0,0,33,0,52,45,-0.41561,0.431946,0.639136,54315.03
09-12-2012,4,45,16,0,21,0,61,100,53,69,-0.41561,0.431946,0.639136,54315.03
16-12-2012,4,34,0,0,0,0,27,0,69,49,0.585061,0.590708,0.501644,54315.03
23-12-2012,4,40,18,0,45,0,43,0,44,51,0.415607,-0.43195,-0.63914,54315.03
30-12-2012,1,13,0,0,0,0,16,0,57,52,-0.44735,0.206785,0.045278,29714.23
06-01-2013,1,27,43,36,0,0,72,0,51,48,-0.41561,0.431946,0.639136,19873.9
13-01-2013,1,21,0,0,27,0,44,0,67,44,1.04546,0.267741,0.288712,19873.9
20-01-2013,1,35,0,0,0,0,36,0,53,41,0.585061,0.590708,0.501644,19873.9
27-01-2013,1,39,28,0,0,0,21,0,53,69,-0.41561,0.431946,0.639136,22446
03-02-2013,1,19,42,0,0,0,42,0,59,20,-0.41561,0.431946,0.639136,28876.25
10-02-2013,1,35,0,100,0,0,70,0,65,14,-0.50422,0.462215,0.100223,28876.25
17-02-2013,1,54,0,0,0,0,53,0,78,48,-0.90775,0.529753,0.258209,28876.25
24-02-2013,1,49,0,0,0,0,59,0,71,63,0.044792,0.108978,0.426204,37403.51
03-03-2013,1,48,0,0,0,0,30,0,72,41,-0.41561,0.431946,0.639136,58721.65
10-03-2013,1,28,69,0,53,0,72,100,99,77,-0.41561,0.431946,0.639136,58721.65
17-03-2013,1,41,57,0,22,0,43,0,66,35,-0.46471,-0.39582,0.631128,58721.65
24-03-2013,1,20,0,26,0,0,46,0,79,57,-0.04479,-0.10898,-0.4262,58721.65
31-03-2013,2,55,73,0,0,0,58,0,90,51,-0.41561,0.431946,0.639136,68637.61
07-04-2013,2,35,0,32,0,0,57,99,66,48,-0.50422,0.462215,0.100223,70290.27
14-04-2013,2,58,0,21,27,0,39,0,78,55,0.585061,0.590708,0.501644,70290.27
21-04-2013,2,70,0,0,25,0,44,0,91,62,-0.46471,-0.39582,0.631128,70290.27
28-04-2013,2,66,24,52,24,0,49,0,74,50,-0.46471,-0.39582,0.631128,76288.27
05-05-2013,2,49,44,0,95,0,72,0,95,71,-0.46471,-0.39582,0.631128,80786.77
12-05-2013,2,65,86,0,0,0,83,0,90,71,-0.41561,0.431946,0.639136,80786.77
19-05-2013,2,100,43,0,50,0,76,0,92,67,-0.04479,-0.10898,-0.4262,80786.77
26-05-2013,2,17,100,0,26,0,67,0,92,87,0.415607,-0.43195,-0.63914,80671.31
02-06-2013,2,41,68,0,0,0,68,0,100,100,0.415607,-0.43195,-0.63914,79978.5
09-06-2013,2,69,99,0,0,0,100,0,97,76,0.415607,-0.43195,-0.63914,79978.5
16-06-2013,2,36,59,0,38,0,91,0,78,71,0.504222,-0.46222,-0.10022,79978.5
23-06-2013,2,0,0,22,0,0,50,0,51,58,-0.41561,0.431946,0.639136,79978.5
30-06-2013,3,0,31,0,22,0,34,0,38,58,-0.41561,0.431946,0.639136,40651.5
07-07-2013,3,16,0,33,100,0,42,0,41,57,-0.46471,-0.39582,0.631128,34097
14-07-2013,3,16,23,0,24,0,52,0,39,47,-0.41561,0.431946,0.639136,34097
21-07-2013,3,26,39,0,19,0,22,0,55,45,0.044792,0.108978,0.426204,34097
28-07-2013,3,19,42,0,0,0,43,0,31,37,0.585061,0.590708,0.501644,46906.42
04-08-2013,3,0,0,0,0,0,43,0,24,48,0.585061,0.590708,0.501644,63985.65
11-08-2013,3,15,0,0,0,0,47,0,42,41,-0.50422,0.462215,0.100223,63985.65
18-08-2013,3,18,0,0,0,0,25,0,32,41,-0.90775,0.529753,0.258209,63985.65
25-08-2013,3,0,0,25,42,0,40,0,48,43,-0.46471,-0.39582,0.631128,63985.65
01-09-2013,3,48,63,0,0,0,58,41,49,19,-0.41561,0.431946,0.639136,72073.17
08-09-2013,3,0,0,0,37,0,46,0,43,55,0.044792,0.108978,0.426204,72073.17
15-09-2013,3,32,0,0,0,0,42,0,56,38,-0.41561,0.431946,0.639136,72073.17
22-09-2013,3,19,22,21,0,0,55,0,46,68,0.044792,0.108978,0.426204,72073.17
29-09-2013,4,0,0,23,40,0,42,0,53,47,-0.46471,-0.39582,0.631128,66759.11
06-10-2013,4,61,24,22,35,0,41,0,51,70,0.496446,0.620978,-0.03727,64633.48
13-10-2013,4,28,0,0,85,0,52,0,44,68,0.535963,-0.23706,0.493636,64633.48
20-10-2013,4,19,30,0,0,0,62,0,64,44,-0.90775,0.529753,0.258209,64633.48
27-10-2013,4,21,53,0,0,0,44,0,55,47,-0.50422,0.462215,0.100223,57866.17
03-11-2013,4,0,30,0,49,0,45,0,53,41,0.55332,0.365548,-0.09221,40947.9
10-11-2013,4,38,0,0,0,0,49,43,48,38,-0.50422,0.462215,0.100223,40947.9
17-11-2013,4,21,0,0,0,0,36,0,62,70,-0.41561,0.431946,0.639136,40947.9
24-11-2013,4,0,40,0,37,0,41,0,60,59,-0.50422,0.462215,0.100223,40947.9
01-12-2013,4,64,26,0,35,0,33,0,74,27,-0.50422,0.462215,0.100223,48711.87
08-12-2013,4,38,25,0,0,0,24,0,64,50,-0.41561,0.431946,0.639136,48711.87
15-12-2013,4,0,0,35,17,0,38,0,47,56,-0.41561,0.431946,0.639136,48711.87
22-12-2013,4,31,20,0,25,0,72,47,61,32,-0.04479,-0.10898,-0.4262,48711.87
29-12-2013,4,24,0,0,31,0,44,0,67,45,-0.49645,-0.62098,0.03727,35013.29
